	Annt1	Annt2	Annt3	Annt4	chr	pos
V61	Desc:2	Desc:2	Desc:4	Desc:2	6	62543189
V62	Desc:2	Desc:2	Desc:2	Desc:2	6	50598801
V63	Desc:2	Desc:1	Desc:1	Desc:4	6	33328141
V64	Desc:2	Desc:2	Desc:4	Desc:2	6	158733438
V65	Desc:1	Desc:1	Desc:2	Desc:3	6	47107967
V66	Desc:2	Desc:2	Desc:2	Desc:1	7	5246518
V67	Desc:2	Desc:3	Desc:4	Desc:4	7	131713113
V68	Desc:2	Desc:2	Desc:3	Desc:2	7	12326167
V69	Desc:2	Desc:2	Desc:2	Desc:2	7	58372056
V70	Desc:2	Desc:3	Desc:3	Desc:3	7	28321194
V71	Desc:2	Desc:1	Desc:2	Desc:1	7	108652542
V72	Desc:2	Desc:3	Desc:1	Desc:5	7	103359699
V73	Desc:1	Desc:2	Desc:2	Desc:4	7	103536939
V74	Desc:1	Desc:3	Desc:1	Desc:5	8	56208609
V75	Desc:1	Desc:2	Desc:1	Desc:2	8	87012547
V76	Desc:2	Desc:1	Desc:1	Desc:2	8	3341929
V77	Desc:2	Desc:1	Desc:4	Desc:2	8	124836752
V78	Desc:1	Desc:3	Desc:4	Desc:3	8	59833292
V79	Desc:1	Desc:3	Desc:2	Desc:5	8	39064309
V80	Desc:2	Desc:2	Desc:4	Desc:1	8	31063538
V81	Desc:1	Desc:1	Desc:2	Desc:4	8	67409926
V82	Desc:2	Desc:3	Desc:2	Desc:2	9	10777547
V83	Desc:1	Desc:3	Desc:2	Desc:4	9	48520782
V84	Desc:2	Desc:2	Desc:2	Desc:2	9	18875793
V85	Desc:2	Desc:2	Desc:4	Desc:2	9	81484304
V86	Desc:1	Desc:3	Desc:1	Desc:2	9	35095469
V87	Desc:2	Desc:3	Desc:1	Desc:5	9	120807273
V88	Desc:2	Desc:2	Desc:4	Desc:1	9	36875340
V89	Desc:2	Desc:3	Desc:4	Desc:4	9	126128712
V90	Desc:1	Desc:1	Desc:1	Desc:5	10	100677585
V91	Desc:1	Desc:3	Desc:1	Desc:4	10	118570992
V92	Desc:2	Desc:1	Desc:1	Desc:1	10	9612077
V93	Desc:2	Desc:3	Desc:1	Desc:1	10	77867215
V94	Desc:1	Desc:1	Desc:2	Desc:1	10	19151335
V95	Desc:1	Desc:2	Desc:3	Desc:3	10	53602699
V96	Desc:1	Desc:1	Desc:1	Desc:5	10	49087920
V97	Desc:1	Desc:1	Desc:3	Desc:5	11	38708284
V98	Desc:2	Desc:3	Desc:3	Desc:1	11	113120818
V99	Desc:1	Desc:3	Desc:3	Desc:2	11	101439886
V100	Desc:2	Desc:1	Desc:2	Desc:2	11	75343477
V101	Desc:2	Desc:3	Desc:1	Desc:2	11	26249259
V102	Desc:2	Desc:1	Desc:1	Desc:5	11	54093637
V103	Desc:2	Desc:3	Desc:3	Desc:1	11	20596380
V104	Desc:1	Desc:3	Desc:4	Desc:2	12	98938748
V105	Desc:1	Desc:3	Desc:4	Desc:5	12	40533585
V106	Desc:2	Desc:1	Desc:3	Desc:2	12	89574094
V107	Desc:1	Desc:1	Desc:3	Desc:2	12	80301557
V108	Desc:1	Desc:1	Desc:1	Desc:5	12	56696139
V109	Desc:1	Desc:2	Desc:2	Desc:5	12	106845694
V110	Desc:2	Desc:2	Desc:1	Desc:3	12	10555451
V111	Desc:1	Desc:2	Desc:4	Desc:5	13	101114606
V112	Desc:2	Desc:1	Desc:2	Desc:4	13	50732192
V113	Desc:2	Desc:2	Desc:4	Desc:5	13	17458821
V114	Desc:2	Desc:3	Desc:3	Desc:4	13	9173140
V115	Desc:2	Desc:2	Desc:2	Desc:3	13	86898750
V116	Desc:1	Desc:2	Desc:1	Desc:3	13	76472186
V117	Desc:2	Desc:3	Desc:4	Desc:3	14	16266789
V118	Desc:2	Desc:3	Desc:2	Desc:4	14	93249681
V119	Desc:1	Desc:1	Desc:2	Desc:2	14	87911171
V120	Desc:1	Desc:1	Desc:1	Desc:2	14	9404454
V121	Desc:1	Desc:1	Desc:1	Desc:2	14	56147990
V122	Desc:1	Desc:1	Desc:3	Desc:5	14	54904212
V123	Desc:2	Desc:2	Desc:3	Desc:2	15	87210495
V124	Desc:1	Desc:1	Desc:4	Desc:5	15	20386568
V125	Desc:2	Desc:2	Desc:4	Desc:4	15	32880981
V126	Desc:1	Desc:1	Desc:3	Desc:4	15	14002843
V127	Desc:2	Desc:1	Desc:3	Desc:4	15	12161519
V128	Desc:1	Desc:3	Desc:1	Desc:3	15	39664472
V129	Desc:2	Desc:2	Desc:4	Desc:4	16	73880383
V130	Desc:1	Desc:3	Desc:3	Desc:4	16	47714897
V131	Desc:2	Desc:1	Desc:4	Desc:1	16	868308
V132	Desc:1	Desc:3	Desc:2	Desc:2	16	66004051
V133	Desc:2	Desc:2	Desc:3	Desc:5	16	24127310
V134	Desc:2	Desc:2	Desc:4	Desc:5	17	54211025
V135	Desc:1	Desc:2	Desc:3	Desc:5	17	15902150
V136	Desc:1	Desc:3	Desc:4	Desc:4	17	8721825
V137	Desc:1	Desc:3	Desc:4	Desc:2	17	46962668
V138	Desc:1	Desc:2	Desc:4	Desc:2	18	39093389
V139	Desc:1	Desc:1	Desc:3	Desc:4	18	55603291
V140	Desc:1	Desc:3	Desc:3	Desc:4	18	41233282
V141	Desc:1	Desc:2	Desc:4	Desc:3	18	63103970
V142	Desc:1	Desc:3	Desc:1	Desc:5	19	10443615
V143	Desc:1	Desc:1	Desc:2	Desc:5	19	6248945
V144	Desc:2	Desc:1	Desc:1	Desc:2	19	24491648
V145	Desc:2	Desc:2	Desc:3	Desc:4	19	19429871
V146	Desc:1	Desc:1	Desc:2	Desc:2	20	4170936
V147	Desc:2	Desc:2	Desc:4	Desc:5	20	40286870
V148	Desc:1	Desc:3	Desc:3	Desc:5	20	54989240
V149	Desc:2	Desc:2	Desc:4	Desc:5	20	39471767
V150	Desc:2	Desc:2	Desc:2	Desc:4	21	44811148
V151	Desc:2	Desc:1	Desc:1	Desc:2	21	28873711
V152	Desc:2	Desc:3	Desc:3	Desc:2	21	7738820
V153	Desc:2	Desc:1	Desc:2	Desc:3	22	20461957
V154	Desc:2	Desc:2	Desc:3	Desc:5	22	23030024
V155	Desc:1	Desc:3	Desc:1	Desc:5	22	7678949
V156	Desc:2	Desc:1	Desc:4	Desc:5	X	113205707
V157	Desc:1	Desc:3	Desc:2	Desc:2	X	9117671
V158	Desc:2	Desc:2	Desc:1	Desc:3	X	55230156
V159	Desc:1	Desc:3	Desc:1	Desc:5	X	73702110
V160	Desc:1	Desc:2	Desc:2	Desc:1	X	105064343
V161	Desc:1	Desc:2	Desc:4	Desc:2	X	7484814
V162	Desc:1	Desc:1	Desc:3	Desc:1	X	6345698
V163	Desc:2	Desc:3	Desc:4	Desc:4	X	45891043
V164	Desc:2	Desc:2	Desc:4	Desc:4	Y	14020510
V165	Desc:2	Desc:2	Desc:4	Desc:2	Y	2971362
V166	Desc:1	Desc:1	Desc:1	Desc:2	Y	29256349
V167	Desc:1	Desc:3	Desc:1	Desc:2	X	146673737
V168	Desc:2	Desc:3	Desc:3	Desc:2	3	141355615
V169	Desc:2	Desc:3	Desc:4	Desc:2	19	31567310
V170	Desc:2	Desc:2	Desc:1	Desc:1	5	3395353
V171	Desc:1	Desc:3	Desc:4	Desc:1	11	2464888
V172	Desc:1	Desc:2	Desc:1	Desc:2	10	68581686
V173	Desc:2	Desc:1	Desc:3	Desc:2	15	60314299
V174	Desc:2	Desc:2	Desc:3	Desc:1	18	58307384
V175	Desc:1	Desc:1	Desc:2	Desc:2	11	26528612
V176	Desc:1	Desc:3	Desc:1	Desc:4	13	38283186
V177	Desc:2	Desc:1	Desc:4	Desc:3	14	43483316
V178	Desc:2	Desc:2	Desc:2	Desc:5	21	41830860
V179	Desc:2	Desc:3	Desc:3	Desc:3	1	160212793
V180	Desc:2	Desc:1	Desc:2	Desc:5	7	83692467
V181	Desc:2	Desc:2	Desc:1	Desc:3	14	39167742
V182	Desc:2	Desc:1	Desc:2	Desc:1	Y	8309133
V183	Desc:2	Desc:1	Desc:4	Desc:1	21	26927848
V184	Desc:1	Desc:2	Desc:1	Desc:3	2	197477698
V185	Desc:1	Desc:2	Desc:4	Desc:4	18	65796042
V186	Desc:2	Desc:1	Desc:3	Desc:2	1	145369367
V187	Desc:2	Desc:2	Desc:4	Desc:1	7	91838386
V188	Desc:2	Desc:2	Desc:3	Desc:5	9	59033170
V189	Desc:1	Desc:1	Desc:2	Desc:3	7	31843957
V190	Desc:1	Desc:3	Desc:2	Desc:4	19	33440512
V191	Desc:1	Desc:2	Desc:4	Desc:4	19	47490053
V192	Desc:1	Desc:1	Desc:2	Desc:5	20	49915055
V193	Desc:1	Desc:2	Desc:3	Desc:1	20	1878719
V194	Desc:1	Desc:2	Desc:4	Desc:2	9	93047574
V195	Desc:2	Desc:1	Desc:1	Desc:2	X	145870982
V196	Desc:2	Desc:3	Desc:1	Desc:3	16	75626142
V197	Desc:2	Desc:2	Desc:1	Desc:5	8	35819134
V198	Desc:1	Desc:1	Desc:4	Desc:3	20	60862499
V199	Desc:1	Desc:1	Desc:4	Desc:2	X	18121170
V200	Desc:2	Desc:1	Desc:1	Desc:2	18	49128537
